"Year";"Quarter";"Month";"DayofMonth";"DayOfWeek";"FlightDate";"Marketing_Airline_Network";"Operated_or_Branded_Code_Share_Partners";"DOT_ID_Marketing_Airline";"IATA_Code_Marketing_Airline";"Flight_Number_Marketing_Airline";"Originally_Scheduled_Code_Share_Airline";"DOT_ID_Originally_Scheduled_Code_Share_Airline";"IATA_Code_Originally_Scheduled_Code_Share_Airline";"Flight_Num_Originally_Scheduled_Code_Share_Airline";"Operating_Airline ";"DOT_ID_Operating_Airline";"IATA_Code_Operating_Airline";"Tail_Number";"Flight_Number_Operating_Airline";"OriginAirportID";"OriginAirportSeqID";"OriginCityMarketID";"Origin";"OriginCityName";"OriginState";"OriginStateFips";"OriginStateName";"OriginWac";"DestAirportID";"DestAirportSeqID";"DestCityMarketID";"Dest";"DestCityName";"DestState";"DestStateFips";"DestStateName";"DestWac";"CRSDepTime";"DepTime";"DepDelay";"DepDelayMinutes";"DepDel15";"DepartureDelayGroups";"DepTimeBlk";"TaxiOut";"WheelsOff";"WheelsOn";"TaxiIn";"CRSArrTime";"ArrTime";"ArrDelay";"ArrDelayMinutes";"ArrDel15";"ArrivalDelayGroups";"ArrTimeBlk";"Cancelled";"CancellationCode";"Diverted";"CRSElapsedTime";"ActualElapsedTime";"AirTime";"Flights";"Distance";"DistanceGroup";"CarrierDelay";"WeatherDelay";"NASDelay";"SecurityDelay";"LateAircraftDelay";"FirstDepTime";"TotalAddGTime";"LongestAddGTime";"DivAirportLandings";"DivReachedDest";"DivActualElapsedTime";"DivArrDelay";"DivDistance";"Div1Airport";"Div1AirportID";"Div1AirportSeqID";"Div1WheelsOn";"Div1TotalGTime";"Div1LongestGTime";"Div1WheelsOff";"Div1TailNum";"Div2Airport";"Div2AirportID";"Div2AirportSeqID";"Div2WheelsOn";"Div2TotalGTime";"Div2LongestGTime";"Div2WheelsOff";"Div2TailNum";"Div3Airport";"Div3AirportID";"Div3AirportSeqID";"Div3WheelsOn";"Div3TotalGTime";"Div3LongestGTime";"Div3WheelsOff";"Div3TailNum";"Div4Airport";"Div4AirportID";"Div4AirportSeqID";"Div4WheelsOn";"Div4TotalGTime";"Div4LongestGTime";"Div4WheelsOff";"Div4TailNum";"Div5Airport";"Div5AirportID";"Div5AirportSeqID";"Div5WheelsOn";"Div5TotalGTime";"Div5LongestGTime";"Div5WheelsOff";"Div5TailNum";"Duplicate"
"2022";"1";"1";"6";"4";"2022-01-06";"DL";"DL";"19790";"DL";"1588";"";"";"";"";"DL";"19790";"DL";"N814DN";"1588";"10693";"1069302";"30693";"BNA";"Nashville, TN";"TN";"47";"Tennessee";"54";"10397";"1039707";"30397";"ATL";"Atlanta, GA";"GA";"13";"Georgia";"34";"0701";"0656";"-5.00";"0.00";"0.00";"-1";"0700-0759";"18.00";"0714";"0853";"6.00";"0910";"0859";"-11.00";"0.00";"0.00";"-1";"0900-0959";"0.00";"";"0.00";"69.00";"63.00";"39.00";"1.00";"214.00";"1";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N"
"2022";"1";"1";"6";"4";"2022-01-06";"DL";"DL";"19790";"DL";"1589";"";"";"";"";"DL";"19790";"DL";"N352DN";"1589";"10397";"1039707";"30397";"ATL";"Atlanta, GA";"GA";"13";"Georgia";"34";"12339";"1233904";"32337";"IND";"Indianapolis, IN";"IN";"18";"Indiana";"42";"1235";"1234";"-1.00";"0.00";"0.00";"-1";"1200-1259";"11.00";"1245";"1349";"6.00";"1401";"1355";"-6.00";"0.00";"0.00";"-1";"1400-1459";"0.00";"";"0.00";"86.00";"81.00";"64.00";"1.00";"432.00";"2";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N"
"2022";"1";"1";"6";"4";"2022-01-06";"DL";"DL";"19790";"DL";"1589";"";"";"";"";"DL";"19790";"DL";"N352DN";"1589";"12339";"1233904";"32337";"IND";"Indianapolis, IN";"IN";"18";"Indiana";"42";"10397";"1039707";"30397";"ATL";"Atlanta, GA";"GA";"13";"Georgia";"34";"1511";"1504";"-7.00";"0.00";"0.00";"-1";"1500-1559";"11.00";"1515";"1624";"6.00";"1643";"1630";"-13.00";"0.00";"0.00";"-1";"1600-1659";"0.00";"";"0.00";"92.00";"86.00";"69.00";"1.00";"432.00";"2";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N"
"2022";"1";"1";"6";"4";"2022-01-06";"DL";"DL";"19790";"DL";"1590";"";"";"";"";"DL";"19790";"DL";"N3769L";"1590";"12953";"1295304";"31703";"LGA";"New York, NY";"NY";"36";"New York";"22";"11292";"1129202";"30325";"DEN";"Denver, CO";"CO";"08";"Colorado";"82";"1826";"1823";"-3.00";"0.00";"0.00";"-1";"1800-1859";"17.00";"1840";"2036";"11.00";"2112";"2047";"-25.00";"0.00";"0.00";"-2";"2100-2159";"0.00";"";"0.00";"286.00";"264.00";"236.00";"1.00";"1620.00";"7";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N"
"2022";"1";"1";"6";"4";"2022-01-06";"DL";"DL";"19790";"DL";"1591";"";"";"";"";"DL";"19790";"DL";"N964AT";"1591";"10397";"1039707";"30397";"ATL";"Atlanta, GA";"GA";"13";"Georgia";"34";"14685";"1468502";"34685";"SAV";"Savannah, GA";"GA";"13";"Georgia";"34";"0820";"0816";"-4.00";"0.00";"0.00";"-1";"0800-0859";"16.00";"0832";"0909";"3.00";"0922";"0912";"-10.00";"0.00";"0.00";"-1";"0900-0959";"0.00";"";"0.00";"62.00";"56.00";"37.00";"1.00";"214.00";"1";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N"
"2022";"1";"1";"6";"4";"2022-01-06";"DL";"DL";"19790";"DL";"1591";"";"";"";"";"DL";"19790";"DL";"N964AT";"1591";"14685";"1468502";"34685";"SAV";"Savannah, GA";"GA";"13";"Georgia";"34";"10397";"1039707";"30397";"ATL";"Atlanta, GA";"GA";"13";"Georgia";"34";"1022";"1013";"-9.00";"0.00";"0.00";"-1";"1000-1059";"11.00";"1024";"1108";"7.00";"1132";"1115";"-17.00";"0.00";"0.00";"-2";"1100-1159";"0.00";"";"0.00";"70.00";"62.00";"44.00";"1.00";"214.00";"1";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N"
"2022";"1";"1";"6";"4";"2022-01-06";"DL";"DL";"19790";"DL";"1592";"";"";"";"";"DL";"19790";"DL";"N934AT";"1592";"15919";"1591904";"31834";"XNA";"Fayetteville, AR";"AR";"05";"Arkansas";"71";"10397";"1039707";"30397";"ATL";"Atlanta, GA";"GA";"13";"Georgia";"34";"0600";"0557";"-3.00";"0.00";"0.00";"-1";"0600-0659";"12.00";"0609";"0825";"5.00";"0903";"0830";"-33.00";"0.00";"0.00";"-2";"0900-0959";"0.00";"";"0.00";"123.00";"93.00";"76.00";"1.00";"589.00";"3";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N"
"2022";"1";"1";"6";"4";"2022-01-06";"DL";"DL";"19790";"DL";"1593";"";"";"";"";"DL";"19790";"DL";"N338DN";"1593";"14683";"1468305";"33214";"SAT";"San Antonio, TX";"TX";"48";"Texas";"74";"10397";"1039707";"30397";"ATL";"Atlanta, GA";"GA";"13";"Georgia";"34";"0700";"0656";"-4.00";"0.00";"0.00";"-1";"0700-0759";"12.00";"0708";"0955";"27.00";"1014";"1022";"8.00";"8.00";"0.00";"0";"1000-1059";"0.00";"";"0.00";"134.00";"146.00";"107.00";"1.00";"874.00";"4";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N"
"2022";"1";"1";"6";"4";"2022-01-06";"DL";"DL";"19790";"DL";"1594";"";"";"";"";"DL";"19790";"DL";"N912DU";"1594";"15304";"1530402";"33195";"TPA";"Tampa, FL";"FL";"12";"Florida";"33";"11433";"1143302";"31295";"DTW";"Detroit, MI";"MI";"26";"Michigan";"43";"1815";"1810";"-5.00";"0.00";"0.00";"-1";"1800-1859";"11.00";"1821";"2026";"6.00";"2102";"2032";"-30.00";"0.00";"0.00";"-2";"2100-2159";"0.00";"";"0.00";"167.00";"142.00";"125.00";"1.00";"983.00";"4";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N"
"2022";"1";"1";"6";"4";"2022-01-06";"DL";"DL";"19790";"DL";"1595";"";"";"";"";"DL";"19790";"DL";"N359NB";"1595";"14869";"1486903";"34614";"SLC";"Salt Lake City, UT";"UT";"49";"Utah";"87";"11292";"1129202";"30325";"DEN";"Denver, CO";"CO";"08";"Colorado";"82";"0955";"1046";"51.00";"51.00";"1.00";"3";"0900-0959";"14.00";"1100";"1156";"18.00";"1134";"1214";"40.00";"40.00";"1.00";"2";"1100-1159";"0.00";"";"0.00";"99.00";"88.00";"56.00";"1.00";"391.00";"2";"2.00";"0.00";"0.00";"0.00";"38.00";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N"
